achitecture,best_epoch,best_val,best_train,training_loss,validation_loss
"(128, 256, 256)",10,2.7307219383667927,2.9141244171558114,"[437.689812995468, 7.466146794059849, 5.559840645535136, 4.664150880872186, 4.094331381670851, 3.8023388544447188, 3.434773721792592, 3.1800797143622606, 3.0186345217849073, 2.9141244171558114]","[11.240462113399895, 7.530413048607962, 8.42097289708196, 9.499806863921028, 6.803266719895966, 4.543630445490078, 5.062230207482163, 7.174579374644221, 20.984430921321014, 2.7307219383667927]"
"(512, 32, 128)",9,5.042913709368024,3.9924205243248445,"[606.0784266616162, 9.990981508576152, 7.867950591346645, 6.553872365322265, 5.781479681311207, 5.063876090331831, 4.679957015251272, 4.259131366211128, 3.9924205243248445, 3.82433212373037]","[12.98148868035297, 9.888363609508593, 11.93826581507313, 7.906143640985294, 5.115636874218376, 7.404770843836726, 21.79726927621024, 7.283982165005742, 5.042913709368024, 10.29037010426424]"
"(512, 64, 64)",6,4.363327918004017,4.869317045662048,"[844.2087916883049, 9.227345175574936, 7.050749344766072, 6.023166072246565, 5.3514071717875265, 4.869317045662048, 4.583803095779593, 4.319470902487415, 4.05046298533712, 3.7897054373336463]","[13.871232572866946, 12.84695796577298, 5.64135362177479, 5.95930138412787, 7.916889884033981, 4.363327918004017, 8.497891683967746, 10.963175700635325, 5.9508872445748775, 5.454454144653009]"
"(512, 64, 128)",10,3.676784800023449,3.4218538537095973,"[604.0198517719091, 8.896833826114971, 6.827024720227759, 5.681965584098547, 5.04762950963399, 4.4986466295483165, 4.209428409125075, 3.8275478614475134, 3.6473577860679236, 3.4218538537095973]","[10.898845088725187, 9.295314178174856, 15.715831333277176, 9.89777365022776, 6.602918525131381, 5.963245126665855, 5.981088635872822, 7.971340006711531, 5.279166588977891, 3.676784800023449]"
"(512, 128, 32)",10,3.966711873910865,3.742435833564255,"[1183.022808148728, 10.004718693450043, 6.911536875302746, 5.848129771675266, 5.175420283593144, 4.709286588857605, 4.398969103451882, 4.111247316833514, 3.9490612035996544, 3.742435833564255]","[19.38079160573531, 7.403617019556006, 6.682859880583627, 6.428642630577087, 9.053448976302633, 9.636000871658325, 8.196809031525436, 5.188339892698794, 4.814431969000369, 3.966711873910865]"
"(512, 128, 64)",8,3.24308910540172,3.821493635541072,"[841.7719114534684, 8.56703998258632, 6.582698538034849, 5.480098843167666, 4.858788377053366, 4.424239807839551, 4.10586542942147, 3.821493635541072, 3.5387787991145094, 3.412322364569524]","[12.773925615816701, 7.523974255639679, 8.444672265831304, 13.552322275784551, 6.043302480055361, 11.615970022824346, 3.9679634850852343, 3.24308910540172, 4.587231358703302, 10.694997057622793]"
"(512, 128, 128)",7,4.0744025038213145,3.759769147844716,"[602.5215540081432, 7.971626894465892, 6.148144230772068, 5.097895023765824, 4.4892176708399365, 4.034735850642294, 3.759769147844716, 3.4806013663338584, 3.351248537449842, 3.1343875020166037]","[10.444090254452764, 8.660563138066506, 4.712414996964591, 4.736639506962835, 7.3008942993319765, 5.8659184781872495, 4.0744025038213145, 6.59018363514725, 5.334801642262206, 4.2097620112555365]"
"(32, 256, 256, 256)",6,4.97303058663193,3.53342883307508,"[435.9536284857914, 7.165153653955297, 5.368362767162041, 4.4351828151188615, 4.042348767574601, 3.53342883307508, 3.272743252221499, 3.0199363611392736, 2.9153533265994813, 2.6995796839938637]","[8.846202607057533, 6.758109022159966, 7.030167786442504, 5.320540508445428, 10.810577567742795, 4.97303058663193, 6.642628331573642, 20.77919181025758, 6.464335205603619, 8.202521324157715]"
"(128, 32, 256, 256)",3,4.759956959558993,5.748088412859876,"[436.1743894567262, 7.731664924220149, 5.748088412859876, 4.700234992241018, 4.120242404449515, 3.7701506820826265, 3.483484587164869, 3.222115916468042, 3.079158137411523, 2.9218671993862104]","[13.997410054109535, 8.592410175167785, 4.759956959558993, 6.674304217708354, 10.285614675405075, 6.921404758278205, 7.147540272498618, 27.200695378439768, 6.398390076598343, 9.982339941725439]"
"(128, 64, 256, 256)",6,4.685733011790684,3.459849409953997,"[435.1022971091417, 7.236910444613338, 5.3214147154652895, 4.51980570016325, 3.817873402260269, 3.459849409953997, 3.3302180710099254, 2.950130677874178, 2.8981980794661415, 2.667714440239439]","[13.957941196402725, 6.553500207103029, 14.130385374536319, 8.82328419296109, 4.859612417464354, 4.685733011790684, 10.180088417870659, 8.605840305892789, 14.05060965674264, 6.4804757833480835]"
"(128, 128, 256, 256)",7,2.7704255568737888,3.040308888251464,"[434.0024105249411, 6.22320746561773, 4.807039256253205, 4.05560923436396, 3.5938006068523696, 3.2171997621197748, 3.040308888251464, 2.763549971431324, 2.5966706285433285, 2.4945549383098355]","[7.880559451726018, 8.925180644405131, 4.734461796527007, 9.384874796380801, 9.844417294677424, 8.435037347735191, 2.7704255568737888, 8.191771942742017, 9.133335675512042, 6.80220936025892]"
"(128, 256, 32, 256)",10,3.3337105914038054,2.8238624921566524,"[437.2753955439089, 7.284610285015779, 5.646746606143261, 4.843533416928149, 4.222025871548094, 3.825039706810614, 3.4394189565526205, 3.238607386408948, 2.960608914308038, 2.8238624921566524]","[7.895300376171968, 7.975670741528881, 6.389849093495583, 6.220558940147867, 6.377481922811391, 6.140711976557362, 7.212990607534136, 6.313333382411879, 4.04078456941916, 3.3337105914038054]"
"(128, 256, 64, 256)",6,3.1314153549622517,3.3626195900269336,"[435.90633011894965, 6.764568721881906, 5.135133874023055, 4.273288669032855, 3.793103679997658, 3.3626195900269336, 3.1719459240347043, 2.8835001425802775, 2.6891847793288335, 2.5989517551911434]","[13.616395249658702, 7.326433648868483, 13.368509501827006, 14.213766681904696, 7.384978087580934, 3.1314153549622517, 5.298070007440995, 11.009512453663106, 5.571846699228092, 19.49768163719956]"
"(128, 256, 128, 256)",7,3.6985162009998245,3.0113959500949674,"[434.2408864381506, 6.528102460846017, 4.992981165749221, 4.142133539447198, 3.639421368486103, 3.229708496553228, 3.0113959500949674, 2.7894118348893047, 2.5715620006446276, 2.4758302428345362]","[11.5277696239705, 13.857805709449613, 14.252333115558235, 4.881325696195875, 6.648901474719145, 5.706638954123672, 3.6985162009998245, 8.625171240495176, 11.998665799899976, 6.275368544520164]"
